A,B,C,D,Result
24,24,24,24,1.00000
24,24,24,28,0.85714
24,24,24,32,0.75000
24,24,24,40,0.60000
24,24,24,44,0.54545
24,24,24,48,0.50000
24,24,24,56,0.42857
24,24,24,64,0.37500
24,24,24,72,0.33333
24,24,24,84,0.28571
24,24,24,86,0.27907
24,24,24,96,0.25000
24,24,24,100,0.24000
24,24,28,24,1.16667
24,24,28,28,1.00000
24,24,28,32,0.87500
24,24,28,40,0.70000
24,24,28,44,0.63636
24,24,28,48,0.58333
24,24,28,56,0.50000
24,24,28,64,0.43750
24,24,28,72,0.38889
24,24,28,84,0.33333
24,24,28,86,0.32558
24,24,28,96,0.29167
24,24,28,100,0.28000
24,24,32,24,1.33333
24,24,32,28,1.14286
24,24,32,32,1.00000
24,24,32,40,0.80000
24,24,32,44,0.72727
24,24,32,48,0.66667
24,24,32,56,0.57143
24,24,32,64,0.50000
24,24,32,72,0.44444
24,24,32,84,0.38095
24,24,32,86,0.37209
24,24,32,96,0.33333
24,24,32,100,0.32000
24,24,40,24,1.66667
24,24,40,28,1.42857
24,24,40,32,1.25000
24,24,40,40,1.00000
24,24,40,44,0.90909
24,24,40,48,0.83333
24,24,40,56,0.71429
24,24,40,64,0.62500
24,24,40,72,0.55556
24,24,40,84,0.47619
24,24,40,86,0.46512
24,24,40,96,0.41667
24,24,40,100,0.40000
24,24,44,24,1.83333
24,24,44,28,1.57143
24,24,44,32,1.37500
24,24,44,40,1.10000
24,24,44,44,1.00000
24,24,44,48,0.91667
24,24,44,56,0.78571
24,24,44,64,0.68750
24,24,44,72,0.61111
24,24,44,84,0.52381
24,24,44,86,0.51163
24,24,44,96,0.45833
24,24,44,100,0.44000
24,24,48,24,2.00000
24,24,48,28,1.71429
24,24,48,32,1.50000
24,24,48,40,1.20000
24,24,48,44,1.09091
24,24,48,48,1.00000
24,24,48,56,0.85714
24,24,48,64,0.75000
24,24,48,72,0.66667
24,24,48,84,0.57143
24,24,48,86,0.55814
24,24,48,96,0.50000
24,24,48,100,0.48000
24,24,56,24,2.33333
24,24,56,28,2.00000
24,24,56,32,1.75000
24,24,56,40,1.40000
24,24,56,44,1.27273
24,24,56,48,1.16667
24,24,56,56,1.00000
24,24,56,64,0.87500
24,24,56,72,0.77778
24,24,56,84,0.66667
24,24,56,86,0.65116
24,24,56,96,0.58333
24,24,56,100,0.56000
24,24,64,24,2.66667
24,24,64,28,2.28571
24,24,64,32,2.00000
24,24,64,40,1.60000
24,24,64,44,1.45455
24,24,64,48,1.33333
24,24,64,56,1.14286
24,24,64,64,1.00000
24,24,64,72,0.88889
24,24,64,84,0.76190
24,24,64,86,0.74419
24,24,64,96,0.66667
24,24,64,100,0.64000
24,24,72,24,3.00000
24,24,72,28,2.57143
24,24,72,32,2.25000
24,24,72,40,1.80000
24,24,72,44,1.63636
24,24,72,48,1.50000
24,24,72,56,1.28571
24,24,72,64,1.12500
24,24,72,72,1.00000
24,24,72,84,0.85714
24,24,72,86,0.83721
24,24,72,96,0.75000
24,24,72,100,0.72000
24,24,84,24,3.50000
24,24,84,28,3.00000
24,24,84,32,2.62500
24,24,84,40,2.10000
24,24,84,44,1.90909
24,24,84,48,1.75000
24,24,84,56,1.50000
24,24,84,64,1.31250
24,24,84,72,1.16667
24,24,84,84,1.00000
24,24,84,86,0.97674
24,24,84,96,0.87500
24,24,84,100,0.84000
24,24,86,24,3.58333
24,24,86,28,3.07143
24,24,86,32,2.68750
24,24,86,40,2.15000
24,24,86,44,1.95455
24,24,86,48,1.79167
24,24,86,56,1.53571
24,24,86,64,1.34375
24,24,86,72,1.19444
24,24,86,84,1.02381
24,24,86,86,1.00000
24,24,86,96,0.89583
24,24,86,100,0.86000
24,24,96,24,4.00000
24,24,96,28,3.42857
24,24,96,32,3.00000
24,24,96,40,2.40000
24,24,96,44,2.18182
