A,B,Result
24,24,1.00000
24,28,0.85714
24,32,0.75000
24,40,0.60000
24,44,0.54545
24,48,0.50000
24,56,0.42857
24,64,0.37500
24,72,0.33333
24,84,0.28571
24,86,0.27907
24,96,0.25000
24,100,0.24000
28,24,1.16667
28,28,1.00000
28,32,0.87500
28,40,0.70000
28,44,0.63636
28,48,0.58333
28,56,0.50000
28,64,0.43750
28,72,0.38889
28,84,0.33333
28,86,0.32558
28,96,0.29167
28,100,0.28000
32,24,1.33333
32,28,1.14286
32,32,1.00000
32,40,0.80000
32,44,0.72727
32,48,0.66667
32,56,0.57143
32,64,0.50000
32,72,0.44444
32,84,0.38095
32,86,0.37209
32,96,0.33333
32,100,0.32000
40,24,1.66667
40,28,1.42857
40,32,1.25000
40,40,1.00000
40,44,0.90909
40,48,0.83333
40,56,0.71429
40,64,0.62500
40,72,0.55556
40,84,0.47619
40,86,0.46512
40,96,0.41667
40,100,0.40000
44,24,1.83333
44,28,1.57143
44,32,1.37500
44,40,1.10000
44,44,1.00000
44,48,0.91667
44,56,0.78571
44,64,0.68750
44,72,0.61111
44,84,0.52381
44,86,0.51163
44,96,0.45833
44,100,0.44000
48,24,2.00000
48,28,1.71429
48,32,1.50000
48,40,1.20000
48,44,1.09091
48,48,1.00000
48,56,0.85714
48,64,0.75000
48,72,0.66667
48,84,0.57143
48,86,0.55814
48,96,0.50000
48,100,0.48000
56,24,2.33333
56,28,2.00000
56,32,1.75000
56,40,1.40000
56,44,1.27273
56,48,1.16667
56,56,1.00000
56,64,0.87500
56,72,0.77778
56,84,0.66667
56,86,0.65116
56,96,0.58333
56,100,0.56000
64,24,2.66667
64,28,2.28571
64,32,2.00000
64,40,1.60000
64,44,1.45455
64,48,1.33333
64,56,1.14286
64,64,1.00000
64,72,0.88889
64,84,0.76190
64,86,0.74419
64,96,0.66667
64,100,0.64000
72,24,3.00000
72,28,2.57143
72,32,2.25000
72,40,1.80000
72,44,1.63636
72,48,1.50000
72,56,1.28571
72,64,1.12500
72,72,1.00000
72,84,0.85714
72,86,0.83721
72,96,0.75000
72,100,0.72000
84,24,3.50000
84,28,3.00000
84,32,2.62500
84,40,2.10000
84,44,1.90909
84,48,1.75000
84,56,1.50000
84,64,1.31250
84,72,1.16667
84,84,1.00000
84,86,0.97674
84,96,0.87500
84,100,0.84000
86,24,3.58333
86,28,3.07143
86,32,2.68750
86,40,2.15000
86,44,1.95455
86,48,1.79167
86,56,1.53571
86,64,1.34375
86,72,1.19444
86,84,1.02381
86,86,1.00000
86,96,0.89583
86,100,0.86000
96,24,4.00000
96,28,3.42857
96,32,3.00000
96,40,2.40000
96,44,2.18182
96,48,2.00000
96,56,1.71429
96,64,1.50000
96,72,1.33333
96,84,1.14286
96,86,1.11628
96,96,1.00000
96,100,0.96000
100,24,4.16667
100,28,3.57143
100,32,3.12500
100,40,2.50000
100,44,2.27273
100,48,2.08333
100,56,1.78571
100,64,1.56250
100,72,1.38889
100,84,1.19048
100,86,1.16279
100,96,1.04167
100,100,1.00000
