A,B,C,D,Result
24,24,24,24,1
24,24,24,28,0.857142857
24,24,24,32,0.75
24,24,24,40,0.6
24,24,24,44,0.545454545
24,24,24,48,0.5
24,24,24,56,0.428571429
24,24,24,64,0.375
24,24,24,72,0.333333333
24,24,24,84,0.285714286
24,24,24,86,0.279069767
24,24,24,96,0.25
24,24,24,100,0.24
24,24,28,24,1.166666667
24,24,28,28,1
24,24,28,32,0.875
24,24,28,40,0.7
24,24,28,44,0.636363636
24,24,28,48,0.583333333
24,24,28,56,0.5
24,24,28,64,0.4375
24,24,28,72,0.388888889
24,24,28,84,0.333333333
24,24,28,86,0.325581395
24,24,28,96,0.291666667
24,24,28,100,0.28
24,24,32,24,1.333333333
24,24,32,28,1.142857143
24,24,32,32,1
24,24,32,40,0.8
24,24,32,44,0.727272727
24,24,32,48,0.666666667
24,24,32,56,0.571428571
24,24,32,64,0.5
24,24,32,72,0.444444444
24,24,32,84,0.380952381
24,24,32,86,0.372093023
24,24,32,96,0.333333333
24,24,32,100,0.32
24,24,40,24,1.666666667
24,24,40,28,1.428571429
24,24,40,32,1.25
24,24,40,40,1
24,24,40,44,0.909090909
24,24,40,48,0.833333333
24,24,40,56,0.714285714
24,24,40,64,0.625
24,24,40,72,0.555555556
24,24,40,84,0.476190476
24,24,40,86,0.465116279
24,24,40,96,0.416666667
24,24,40,100,0.4
24,24,44,24,1.833333333
24,24,44,28,1.571428571
24,24,44,32,1.375
24,24,44,40,1.1
24,24,44,44,1
24,24,44,48,0.916666667
24,24,44,56,0.785714286
24,24,44,64,0.6875
24,24,44,72,0.611111111
24,24,44,84,0.523809524
24,24,44,86,0.511627907
24,24,44,96,0.458333333
24,24,44,100,0.44
24,24,48,24,2
24,24,48,28,1.714285714
24,24,48,32,1.5
24,24,48,40,1.2
24,24,48,44,1.090909091
24,24,48,48,1
24,24,48,56,0.857142857
24,24,48,64,0.75
24,24,48,72,0.666666667
24,24,48,84,0.571428571
24,24,48,86,0.558139535
24,24,48,96,0.5
24,24,48,100,0.48
24,24,56,24,2.333333333
24,24,56,28,2
24,24,56,32,1.75
24,24,56,40,1.4
24,24,56,44,1.272727273
24,24,56,48,1.166666667
24,24,56,56,1
24,24,56,64,0.875
24,24,56,72,0.777777778
24,24,56,84,0.666666667
24,24,56,86,0.651162791
24,24,56,96,0.583333333
24,24,56,100,0.56
24,24,64,24,2.666666667
24,24,64,28,2.285714286
24,24,64,32,2
24,24,64,40,1.6
24,24,64,44,1.454545455
24,24,64,48,1.333333333
24,24,64,56,1.142857143
24,24,64,64,1
24,24,64,72,0.888888889
24,24,64,84,0.761904762
24,24,64,86,0.744186047
24,24,64,96,0.666666667
24,24,64,100,0.64
24,24,72,24,3
24,24,72,28,2.571428571
24,24,72,32,2.25
24,24,72,40,1.8
24,24,72,44,1.636363636
24,24,72,48,1.5
24,24,72,56,1.285714286
24,24,72,64,1.125
24,24,72,72,1
24,24,72,84,0.857142857
24,24,72,86,0.837209302
24,24,72,96,0.75
24,24,72,100,0.72
24,24,84,24,3.5
24,24,84,28,3
24,24,84,32,2.625
24,24,84,40,2.1
24,24,84,44,1.909090909
24,24,84,48,1.75
24,24,84,56,1.5
24,24,84,64,1.3125
24,24,84,72,1.166666667
24,24,84,84,1
24,24,84,86,0.976744186
24,24,84,96,0.875
24,24,84,100,0.84
24,24,86,24,3.583333333
24,24,86,28,3.071428571
24,24,86,32,2.6875
24,24,86,40,2.15
24,24,86,44,1.954545455
24,24,86,48,1.791666667
24,24,86,56,1.535714286
24,24,86,64,1.34375
24,24,86,72,1.194444444
24,24,86,84,1.023809524
24,24,86,86,1
24,24,86,96,0.895833333
24,24,86,100,0.86
24,24,96,24,4
24,24,96,28,3.428571429
24,24,96,32,3
24,24,96,40,2.4
24,24,96,44,2.181818182
24,24,96,48,2
24,24,96,56,1.714285714
24,24,96,64,1.5
24,24,96,72,1.333333333
24,24,96,84,1.142857143
24,24,96,86,1.11627907
24,24,96,96,1
24,24,96,100,0.96
24,24,100,24,4.166666667
24,24,100,28,3.571428571
24,24,100,32,3.125
24,24,100,40,2.5
24,24,100,44,2.272727273
24,24,100,48,2.083333333
24,24,100,56,1.785714286
24,24,100,64,1.5625
24,24,100,72,1.388888889
24,24,100,84,1.19047619
24,24,100,86,1.162790698
24,24,100,96,1.041666667
24,24,100,100,1
24,28,24,24,0.857142857
24,28,24,28,0.734693878
24,28,24,32,0.642857143
24,28,24,40,0.514285714
24,28,24,44,0.467532468
24,28,24,48,0.428571429
24,28,24,56,0.367346939
24,28,24,64,0.321428571
24,28,24,72,0.285714286
24,28,24,84,0.244897959
24,28,24,86,0.239202658
24,28,24,96,0.214285714
24,28,24,100,0.205714286
24,28,28,24,1
24,28,28,28,0.857142857
24,28,28,32,0.75
24,28,28,40,0.6
24,28,28,44,0.545454545
24,28,28,48,0.5
24,28,28,56,0.428571429
24,28,28,64,0.375
24,28,28,72,0.333333333
24,28,28,84,0.285714286
24,28,28,86,0.279069767
24,28,28,96,0.25
24,28,28,100,0.24
24,28,32,24,1.142857143
24,28,32,28,0.979591837
24,28,32,32,0.857142857
24,28,32,40,0.685714286
24,28,32,44,0.623376623
24,28,32,48,0.571428571
24,28,32,56,0.489795918
24,28,32,64,0.428571429
24,28,32,72,0.380952381
24,28,32,84,0.326530612
24,28,32,86,0.318936877
24,28,32,96,0.285714286
24,28,32,100,0.274285714
24,28,40,24,1.428571429
24,28,40,28,1.224489796
24,28,40,32,1.071428571
24,28,40,40,0.857142857
24,28,40,44,0.779220779
24,28,40,48,0.714285714
24,28,40,56,0.612244898
24,28,40,64,0.535714286
24,28,40,72,0.476190476
24,28,40,84,0.408163265
24,28,40,86,0.398671096
24,28,40,96,0.357142857
24,28,40,100,0.342857143
24,28,44,24,1.571428571
24,28,44,28,1.346938776
24,28,44,32,1.178571429
24,28,44,40,0.942857143
24,28,44,44,0.857142857
24,28,44,48,0.785714286
24,28,44,56,0.673469388
