A,B,Result
24,24,1
24,28,0.857142857
24,32,0.75
24,40,0.6
24,44,0.545454545
24,48,0.5
24,56,0.428571429
24,64,0.375
24,72,0.333333333
24,84,0.285714286
24,86,0.279069767
24,96,0.25
24,100,0.24
28,24,1.166666667
28,28,1
28,32,0.875
28,40,0.7
28,44,0.636363636
28,48,0.583333333
28,56,0.5
28,64,0.4375
28,72,0.388888889
28,84,0.333333333
28,86,0.325581395
28,96,0.291666667
28,100,0.28
32,24,1.333333333
32,28,1.142857143
32,32,1
32,40,0.8
32,44,0.727272727
32,48,0.666666667
32,56,0.571428571
32,64,0.5
32,72,0.444444444
32,84,0.380952381
32,86,0.372093023
32,96,0.333333333
32,100,0.32
40,24,1.666666667
40,28,1.428571429
40,32,1.25
40,40,1
40,44,0.909090909
40,48,0.833333333
40,56,0.714285714
40,64,0.625
40,72,0.555555556
40,84,0.476190476
40,86,0.465116279
40,96,0.416666667
40,100,0.4
44,24,1.833333333
44,28,1.571428571
44,32,1.375
44,40,1.1
44,44,1
44,48,0.916666667
44,56,0.785714286
44,64,0.6875
44,72,0.611111111
44,84,0.523809524
44,86,0.511627907
44,96,0.458333333
44,100,0.44
48,24,2
48,28,1.714285714
48,32,1.5
48,40,1.2
48,44,1.090909091
48,48,1
48,56,0.857142857
48,64,0.75
48,72,0.666666667
48,84,0.571428571
48,86,0.558139535
48,96,0.5
48,100,0.48
56,24,2.333333333
56,28,2
56,32,1.75
56,40,1.4
56,44,1.272727273
56,48,1.166666667
56,56,1
56,64,0.875
56,72,0.777777778
56,84,0.666666667
56,86,0.651162791
56,96,0.583333333
56,100,0.56
64,24,2.666666667
64,28,2.285714286
64,32,2
64,40,1.6
64,44,1.454545455
64,48,1.333333333
64,56,1.142857143
64,64,1
64,72,0.888888889
64,84,0.761904762
64,86,0.744186047
64,96,0.666666667
64,100,0.64
72,24,3
72,28,2.571428571
72,32,2.25
72,40,1.8
72,44,1.636363636
72,48,1.5
72,56,1.285714286
72,64,1.125
72,72,1
72,84,0.857142857
72,86,0.837209302
72,96,0.75
72,100,0.72
84,24,3.5
84,28,3
84,32,2.625
84,40,2.1
84,44,1.909090909
84,48,1.75
84,56,1.5
84,64,1.3125
84,72,1.166666667
84,84,1
84,86,0.976744186
84,96,0.875
84,100,0.84
86,24,3.583333333
86,28,3.071428571
86,32,2.6875
86,40,2.15
86,44,1.954545455
86,48,1.791666667
86,56,1.535714286
86,64,1.34375
86,72,1.194444444
86,84,1.023809524
86,86,1
86,96,0.895833333
86,100,0.86
96,24,4
96,28,3.428571429
96,32,3
96,40,2.4
96,44,2.181818182
96,48,2
96,56,1.714285714
96,64,1.5
96,72,1.333333333
96,84,1.142857143
96,86,1.11627907
96,96,1
96,100,0.96
100,24,4.166666667
100,28,3.571428571
100,32,3.125
100,40,2.5
100,44,2.272727273
100,48,2.083333333
100,56,1.785714286
100,64,1.5625
100,72,1.388888889
100,84,1.19047619
100,86,1.162790698
100,96,1.041666667
100,100,1
